Song,Artist
Cardinal,Pinegrove
White Lies,Max Jury
Knee Deep at ATP,Los Campesinos!
Plastic Skeletons,Jealous of the Birds
Flowers in Your Hair,The Lumineers
Big Black Car,Gregory Alan Isakov
Astronaut,Mansionair
Wild Love,James Bay
Fever,Roosevelt
Running with the Wolves,AURORA
Hot Heavy Summer,Ben Howard
Wildflowers,Tom Petty
Sweet Amarillo,Old Crow Medicine Show
The Great Divide,The Shins
Dreams Tonite,Alvvays
Tennessee,Allan Rayman
She Lit a Fire,Lord Huron
One Track Mind,Abhi the Nomad
Call Off Your Ghost,Dessa
Disappear Here,Bad Suns
